name,label,group,n,source,note
eeg_setA_18,unknown,eeg,4097,Bonn setA Z019.txt,healthy_eyes_open
eeg_setA_19,unknown,eeg,4097,Bonn setA Z020.txt,healthy_eyes_open
eeg_setB_00,unknown,eeg,4097,Bonn setB O001.txt,healthy_eyes_closed
eeg_setB_01,unknown,eeg,4097,Bonn setB O002.txt,healthy_eyes_closed
eeg_setB_02,unknown,eeg,4097,Bonn setB O003.txt,healthy_eyes_closed
eeg_setB_03,unknown,eeg,4097,Bonn setB O004.txt,healthy_eyes_closed
eeg_setB_04,unknown,eeg,4097,Bonn setB O005.txt,healthy_eyes_closed
eeg_setB_05,unknown,eeg,4097,Bonn setB O006.txt,healthy_eyes_closed
eeg_setB_06,unknown,eeg,4097,Bonn setB O007.txt,healthy_eyes_closed
eeg_setB_07,unknown,eeg,4097,Bonn setB O008.txt,healthy_eyes_closed
eeg_setB_08,unknown,eeg,4097,Bonn setB O009.txt,healthy_eyes_closed
eeg_setB_09,unknown,eeg,4097,Bonn setB O010.txt,healthy_eyes_closed
eeg_setB_10,unknown,eeg,4097,Bonn setB O011.txt,healthy_eyes_closed
eeg_setB_11,unknown,eeg,4097,Bonn setB O012.txt,healthy_eyes_closed
eeg_setB_12,unknown,eeg,4097,Bonn setB O013.txt,healthy_eyes_closed
eeg_setB_13,unknown,eeg,4097,Bonn setB O014.txt,healthy_eyes_closed
eeg_setB_14,unknown,eeg,4097,Bonn setB O015.txt,healthy_eyes_closed
eeg_setB_15,unknown,eeg,4097,Bonn setB O016.txt,healthy_eyes_closed
eeg_setB_16,unknown,eeg,4097,Bonn setB O017.txt,healthy_eyes_closed
eeg_setB_17,unknown,eeg,4097,Bonn setB O018.txt,healthy_eyes_closed
eeg_setB_18,unknown,eeg,4097,Bonn setB O019.txt,healthy_eyes_closed
eeg_setB_19,unknown,eeg,4097,Bonn setB O020.txt,healthy_eyes_closed
eeg_setC_00,unknown,eeg,4097,Bonn setC N001.TXT,interictal_opposite
eeg_setC_01,unknown,eeg,4097,Bonn setC N002.TXT,interictal_opposite
eeg_setC_02,unknown,eeg,4097,Bonn setC N003.TXT,interictal_opposite
eeg_setC_03,unknown,eeg,4097,Bonn setC N004.TXT,interictal_opposite
eeg_setC_04,unknown,eeg,4097,Bonn setC N005.TXT,interictal_opposite
eeg_setC_05,unknown,eeg,4097,Bonn setC N006.TXT,interictal_opposite
eeg_setC_06,unknown,eeg,4097,Bonn setC N007.TXT,interictal_opposite
eeg_setC_07,unknown,eeg,4097,Bonn setC N008.TXT,interictal_opposite
eeg_setC_08,unknown,eeg,4097,Bonn setC N009.TXT,interictal_opposite
eeg_setC_09,unknown,eeg,4097,Bonn setC N010.TXT,interictal_opposite
eeg_setC_10,unknown,eeg,4097,Bonn setC N011.TXT,interictal_opposite
eeg_setC_11,unknown,eeg,4097,Bonn setC N012.TXT,interictal_opposite
eeg_setC_12,unknown,eeg,4097,Bonn setC N013.TXT,interictal_opposite
eeg_setC_13,unknown,eeg,4097,Bonn setC N014.TXT,interictal_opposite
eeg_setC_14,unknown,eeg,4097,Bonn setC N015.TXT,interictal_opposite
eeg_setC_15,unknown,eeg,4097,Bonn setC N016.TXT,interictal_opposite
eeg_setC_16,unknown,eeg,4097,Bonn setC N017.TXT,interictal_opposite
eeg_setC_17,unknown,eeg,4097,Bonn setC N018.TXT,interictal_opposite
eeg_setC_18,unknown,eeg,4097,Bonn setC N019.TXT,interictal_opposite
eeg_setC_19,unknown,eeg,4097,Bonn setC N020.TXT,interictal_opposite
eeg_setD_00,unknown,eeg,4097,Bonn setD F001.txt,interictal_focus
eeg_setD_01,unknown,eeg,4097,Bonn setD F002.txt,interictal_focus
eeg_setD_02,unknown,eeg,4097,Bonn setD F003.txt,interictal_focus
eeg_setD_03,unknown,eeg,4097,Bonn setD F004.txt,interictal_focus
eeg_setD_04,unknown,eeg,4097,Bonn setD F005.txt,interictal_focus
eeg_setD_05,unknown,eeg,4097,Bonn setD F006.txt,interictal_focus
eeg_setD_06,unknown,eeg,4097,Bonn setD F007.txt,interictal_focus
eeg_setD_07,unknown,eeg,4097,Bonn setD F008.txt,interictal_focus
eeg_setD_08,unknown,eeg,4097,Bonn setD F009.txt,interictal_focus
eeg_setD_09,unknown,eeg,4097,Bonn setD F010.txt,interictal_focus
eeg_setD_10,unknown,eeg,4097,Bonn setD F011.txt,interictal_focus
eeg_setD_11,unknown,eeg,4097,Bonn setD F012.txt,interictal_focus
eeg_setD_12,unknown,eeg,4097,Bonn setD F013.txt,interictal_focus
eeg_setD_13,unknown,eeg,4097,Bonn setD F014.txt,interictal_focus
eeg_setD_14,unknown,eeg,4097,Bonn setD F015.txt,interictal_focus
eeg_setD_15,unknown,eeg,4097,Bonn setD F016.txt,interictal_focus
eeg_setD_16,unknown,eeg,4097,Bonn setD F017.txt,interictal_focus
eeg_setD_17,unknown,eeg,4097,Bonn setD F018.txt,interictal_focus
eeg_setD_18,unknown,eeg,4097,Bonn setD F019.txt,interictal_focus
eeg_setD_19,unknown,eeg,4097,Bonn setD F020.txt,interictal_focus
eeg_setE_00,unknown,eeg,4097,Bonn setE S001.txt,seizure
eeg_setE_01,unknown,eeg,4097,Bonn setE S002.txt,seizure
eeg_setE_02,unknown,eeg,4097,Bonn setE S003.txt,seizure
eeg_setE_03,unknown,eeg,4097,Bonn setE S004.txt,seizure
eeg_setE_04,unknown,eeg,4097,Bonn setE S005.txt,seizure
eeg_setE_05,unknown,eeg,4097,Bonn setE S006.txt,seizure
eeg_setE_06,unknown,eeg,4097,Bonn setE S007.txt,seizure
eeg_setE_07,unknown,eeg,4097,Bonn setE S008.txt,seizure
eeg_setE_08,unknown,eeg,4097,Bonn setE S009.txt,seizure
eeg_setE_09,unknown,eeg,4097,Bonn setE S010.txt,seizure
eeg_setE_10,unknown,eeg,4097,Bonn setE S011.txt,seizure
eeg_setE_11,unknown,eeg,4097,Bonn setE S012.txt,seizure
eeg_setE_12,unknown,eeg,4097,Bonn setE S013.txt,seizure
eeg_setE_13,unknown,eeg,4097,Bonn setE S014.txt,seizure
eeg_setE_14,unknown,eeg,4097,Bonn setE S015.txt,seizure
eeg_setE_15,unknown,eeg,4097,Bonn setE S016.txt,seizure
eeg_setE_16,unknown,eeg,4097,Bonn setE S017.txt,seizure
eeg_setE_17,unknown,eeg,4097,Bonn setE S018.txt,seizure
eeg_setE_18,unknown,eeg,4097,Bonn setE S019.txt,seizure
eeg_setE_19,unknown,eeg,4097,Bonn setE S020.txt,seizure
