name,group,reproducible,sha256,bytes
eeg_setB_02,eeg,no,f432a56ed0a49700900d1d47ca0a2c996557f432fbfbd0ad4913b033b0ec198b,18212
eeg_setB_03,eeg,no,9f8f9d02f721c9e604773485c79692362e18438f785441b8b3040737d562e30a,18245
eeg_setB_04,eeg,no,7147c716b92d517ee1f5a849a756ce6ca04c2ca754213bfbd1ac8548d13facf0,18310
eeg_setB_05,eeg,no,c55dcec2b61813b6fd929d66d58d8b1f7009ead6b8e4eee2ae6e9f33fba93965,17373
eeg_setB_06,eeg,no,ed23a4d220905413b77d3da48efb50aa31645d239c2616b8fafc5a8f2f9afcd9,19455
eeg_setB_07,eeg,no,3f4caf93fca28a5c079e62b819af26ace18f75dc8d6d1c3b2b51e275924be77c,17732
eeg_setB_08,eeg,no,477a665fa922901c3b398e69bfae8fd0eb7e075fc16f7e0d8b8f76d70ee20702,18153
eeg_setB_09,eeg,no,546aa2bb635a76697fc1407addd55346ec66e386a7a6bbb313ecc062cebd5bb9,19203
eeg_setB_10,eeg,no,9b82bba19a94d677fc800eec3c0aad130f7052a65bf28bf730bf71941884c438,19933
eeg_setB_11,eeg,no,f99fea853321a567fffcc6624af4df8480c4cb0b72b9c1b4a685128d8ad36a79,17952
eeg_setB_12,eeg,no,47928dbf78390d85bb12f9749f158267910006531212973164287df38d408cf1,20247
eeg_setB_13,eeg,no,ddad83172303f9049e50515d828c6a20e35e9d35d9642f1e4aa9140d4366d263,20427
eeg_setB_14,eeg,no,998fdc4f50c3869081f01d42a8556d1471ffe95807664fe82b39cc4ade787491,19334
eeg_setB_15,eeg,no,f5f500639aa1971b15063275f701dd385aee935509d90568e79068037a2afd8e,17039
eeg_setB_16,eeg,no,97a740dd8bd12cc7f29ee0d29b9d2da68da258bf3f2bf6cebaa3bd683a34d29f,19885
eeg_setB_17,eeg,no,b2463493adbc41125171d8a4995f03d483ed5bd365b65a6fd9a6d85e0c34934d,17807
eeg_setB_18,eeg,no,29974606f68aa97f2d4d6dc0ed336fb61ec13553e683c9c6ccfa58750a9d5694,20437
eeg_setB_19,eeg,no,5a9369768c5866a7ae111ddc0d2d8128d9acb1342ab28427f3842ab480479a61,18292
eeg_setC_00,eeg,no,7dd09e7668bcf839faf1257b999f7e6e2e43d2113eeb2e7c6606e90c17edec28,18504
eeg_setC_01,eeg,no,6bd87c98e1da2273bdcee8cbbbebfa2dd2f8000524ee740c70a4f1120b9bb774,18388
eeg_setC_02,eeg,no,3aeff77bda3f08916bb590d4194de465356b02812c88e72be97c7cde5cd24d62,18425
eeg_setC_03,eeg,no,68d8007f71fd31ce06da0617994aea864f3fd1528ce49820cbf04a7afa3474a8,17188
eeg_setC_04,eeg,no,25be93183a82110c4535c5659007f474f39b21f3582e55cd6c3ba289b8048d29,19912
eeg_setC_05,eeg,no,1dc9fa19673041dff6c7bb3151c2b389a33c0ba1e4e3f2bcf6ca8dc76e2064e5,17678
eeg_setC_06,eeg,no,debcb6145d9eef87954263298743650eaf8b8cb1de7df0d10b3aa53b13330c7c,18210
eeg_setC_07,eeg,no,1b4bf60e086b8d4f6b38fa4652309af619e248d29ab8c6c96d23757b81e6a28a,19576
eeg_setC_08,eeg,no,bae30f74a5a698352d94f435c3b144fcbbaefe6a274aa818e100d93652092c31,17765
eeg_setC_09,eeg,no,bab4d33b78fb6e69aabb6cd049f093986f14b8be5917279e8dbe2a9c8c8a1ceb,17849
eeg_setC_10,eeg,no,2ff42d9941cc1b030e746c96862f05c936284d913787ceec7191afffacfd4ebe,17221
eeg_setC_11,eeg,no,05cc408d82e2f2a27bbfa45520ba7393a9164a5eadb996cdab73d8be3ece74d4,18242
eeg_setC_12,eeg,no,0761a0829bc1e9a89ca3da17fc9e909d9fe78b1f2672e3cac10c7e39de019f2e,16891
eeg_setC_13,eeg,no,f8077a16ffd409935213436e1885cbd30195d5c1bdd1bb6f488e312ffa8e4a49,20682
eeg_setC_14,eeg,no,ec8d379c6a97bcde92d25b01ad04a595b30a9856dfb6434bcdbbf63b77468034,18657
eeg_setC_15,eeg,no,20851415be6de1e563432d2cd5e1d77c494452ca88d516b4792c81903d0e4b66,16904
eeg_setC_16,eeg,no,af84ee26f767c8dab9543d8731c015ff1c1a341e311d15183d4e6db7ef006491,20338
eeg_setC_17,eeg,no,57aad503a84dc74b9a4db29422a4cd792f6df307d524bf890b951038d52700f6,16606
eeg_setC_18,eeg,no,2cae2d094685d527cf1d67d056ce3ea090d9fa9b2aa940fd8393777566f9f3ba,17581
eeg_setC_19,eeg,no,2ca68527420b93b2589a86e6fc7528eb4fb1937ca6c9e1e5c217d696f059f971,19511
eeg_setD_00,eeg,no,c451565d69b265b3d1d90a75362c2c70bba75942abecb0fd991235d24b892192,16418
eeg_setD_01,eeg,no,5b920615d0133fedbe34b049caf00ab9249f3ae6b2cda094690d712ac684c9ae,18625
eeg_setD_02,eeg,no,c86d6173dbac1448c59e3419f2ae5a5b0fb1b48fd48e4cbba4a06b0a1439fa95,19397
eeg_setD_03,eeg,no,2a8a90a505f50e57cc49d1e3589cc92e206580b287f891dbc3b1403d4d90fb88,19404
eeg_setD_04,eeg,no,b4ed206fdf969d7ac050a902397ad5c7fec590adfbb766363f053f439724c6d0,19515
eeg_setD_05,eeg,no,a37727d844631670abe9177413d9b6fa3075f4663fd1c5cce258f2dd8699249c,19728
eeg_setD_06,eeg,no,d00d0a1b8b8479f1dd1a537e88e270e58320517f006381cba0e5ba1a94ede52f,19096
eeg_setD_07,eeg,no,e06ac27d796ef789befac91af5a6e408499129e6a85b8e8c9e4d18d6311290f6,19399
eeg_setD_08,eeg,no,f572cbcdbdf6971c2adb5f33fed9f5e1f6953ea72cbb555c72ca3375cee0e5b4,22342
eeg_setD_09,eeg,no,00ba6fd7e41a75de73179eaa65b5e3fcfbb4e38149b032e1f882e34114484470,18748
eeg_setD_10,eeg,no,68b113f43525d8b3b3f89da984dc016e87c282c2de5431ca6f96d08a15916b98,19207
eeg_setD_11,eeg,no,ce3d14f1d8e28d586ebac99a4fc1d4ee9573fd8dfe4c624efcef470e50e45fa1,17708
eeg_setD_12,eeg,no,4804168e2ac87057f4b115762af2c9f7fba780d790f35ea8da06d403dcba57ae,16493
eeg_setD_13,eeg,no,dba22999006a7798dc124a39e42c8760706867d32ec228a3b356344ad9addc3a,18367
eeg_setD_14,eeg,no,a68ed1c2e6b070c06d2bf20fa601d9096b2f86f202730e06cd10fad08b8e5caf,16587
eeg_setD_15,eeg,no,a87096f22cf6fa1820b7a676db59ec777316f2fd7aef849816399d1bc758fe0b,18034
eeg_setD_16,eeg,no,35d1d3f739e075a6e228cd8bd5feb5b1e1e65bb45742139cff50fce7a453cdb6,17680
eeg_setD_17,eeg,no,4e50c6ef8c6e01f4c3ac0df114e17b8d726461439d00824c58dc4cfebf6a97d7,18330
eeg_setD_18,eeg,no,b6839bdeffe3384539a9896cbf273ae9ba2aa387be56ac36085811618a2ded00,19188
eeg_setD_19,eeg,no,6f12f3f08feee763713d31ec03281c6a90449af8c3c532549b717a24fac0a598,17025
eeg_setE_00,eeg,no,a80b60af277639f3d06da22712cb3344031a10b5134cf4399578bd4ae277250f,21417
eeg_setE_01,eeg,no,713e8aa53c796eea4ef0630bbb103caf8a4b753c7a4d6b33f65a4239890a50dd,21769
eeg_setE_02,eeg,no,9a78223fe888e6d7900f628137fa34d32fdc7aaad177927fa307177840442735,20998
eeg_setE_03,eeg,no,ac144560ed31d11c85ac4e7acb674109f61978039c328983443c93d137174b7e,20456
eeg_setE_04,eeg,no,1b765a86d71f3dac027388268ac1d5f987d4126f47bf01ff2cf5cadb4e1bae27,21506
eeg_setE_05,eeg,no,1483b9c03cfec01c7bdc28d5201e96ea3fc94db46f4a77cac6a1c7e7f2f344fd,20307
eeg_setE_06,eeg,no,aba4eec3cbb86731d9cc3326ab6d9065b35c6ecf7a14571ebbca7490dd8a90ca,21112
eeg_setE_07,eeg,no,593471479691d9b039608ed391906d8be2d6b1fd3b990786752dc27ae503b01f,22060
eeg_setE_08,eeg,no,ec6ae88c57233449a89685f0c711e463883f48c4246cf546fb72e64d5af13999,22207
eeg_setE_09,eeg,no,bdd99f6b47424855a2918522caf4ea5e6ba22c7c6267b5d442319a46ab6474c9,21570
eeg_setE_10,eeg,no,0b128a9180c5d841085a463948669002858c7d43d1abbbe649a57352b64fdc15,22056
eeg_setE_11,eeg,no,5f1eb7947a0493c8d5abfb4c707df87613c964ce15311a0646544d436cb1674e,22728
eeg_setE_12,eeg,no,ececb3f8a43301c9eed0bdd3a56d45800f5cf53309ee095b134a52fb3ae842e5,22555
eeg_setE_13,eeg,no,33679852428ab4e94c46cd71053b2f61dc3b8db9aa985baf2f9baaa30ff90679,20449
eeg_setE_14,eeg,no,339440d5ddd9b7b0764718316a78329dd6a8eea540522763a8dde3a2b399bf10,21327
eeg_setE_15,eeg,no,899ea48e1832c6e298efc706f121386be3403670f2cf84e70c4b2fcf94d1763d,20065
eeg_setE_16,eeg,no,beaa61cfaee1aaee5ce00816f99f5ea62386d94a0080b656710bd245a106ee3b,21954
eeg_setE_17,eeg,no,fa88c02832f32d3a9b5cfb5586208a447de4469e929bb9f877f0bcf4624c2918,20250
eeg_setE_18,eeg,no,ee2ce7e0f32c04dff1cf2fd12d0696d40422cf41de24c710e780f01fd411a643,22338
eeg_setE_19,eeg,no,b6a92cba596f545dad9c01ff81f5ef314d37dfc544730d187a8181e41da711f2,20852
fgn_h0.8,stochastic,yes,2b18a4c2ce67dbc0d6712b062c091369739a9dedde72cacd4dc54ba845f4150f,131263
garch_returns,stochastic,yes,a2850a5bae4e354af3bf00498e6bd3f06d45586f77b7d7a212ef830b93874c93,141934
garch_volatility,stochastic,yes,c1182b209bddccd579fbf69764cc3a0a338c724e9e932c0737fa99b3df05095a,135598
henon_SNR10dB,mixed,yes,5a0f3b9a1df2d344670f0990b1eec04d499480ca72fdacfd79b287869c33d585,139948
henon_SNR20dB,mixed,yes,0108bbc36ee3a081cf1ef86475f639b94bd0cdcc85767951f75ebe6948a57026,139830
henon_SNR5dB,mixed,yes,6189df284f3fc5f3af6dcf077b16e07f8936372f124f3f0bee0da471905a2d3f,139925
henon_x_a1.1,map,yes,8abd37289ef40d5e6018fac9c0b54f1bc69126cdc9287a03510f2f84beb584fd,140101
henon_x_a1.3,map,yes,3301144f140f4139e8879ddec7dd5fdbdb45d6c1bf2a7fca77da75352b637ae6,141436
henon_x_a1.4,map,yes,e706ecc6d303d8426c2a75e513877a5bca45b14659d8fc409c0a8a612c186f01,140353
henon_y_a1.4,map,yes,47b7f5311021b75b4f34d74ce94aaa609aa38f70813f65308fae121d659b9a47,144601
iaaft_henon_x,surrogate,yes,c617e357085f993b6af4e6c2e35bd6abe9a6f61cb8953f17a78f454369f1f3fe,140353
iaaft_lorenz_x,surrogate,yes,302cd9a398348f9eb03acc9066ca8e130fb38743c6b7ae7b26e471fe8a17e898,134581
logistic_SNR10dB,mixed,yes,ab67de4cc3510e220f990e5cad1b30b592f6927fdb5b4acd64662f9026358a38,139870
logistic_SNR20dB,mixed,yes,1c9000e1df6dc5fa46340b416969743a4f8891cfd2f44e6dbe105588266e61b4,139473
logistic_SNR5dB,mixed,yes,6b1cc9fdbf8b5484345a553b6a2e9645ed856d0f6ed3baeaf6aa986024dd73be,139915
logistic_r2.80,map,yes,1f835b47c6742845b8b96ccf811d68a1a43405c96965027a7aa96d09211e0791,140007
logistic_r3.00,map,yes,59e3e08c4cee84a136ea334cb8e93ca60e06c4d3ceb0afe5073c8ae43e695bb2,138901
logistic_r3.50,map,yes,4fba1573d3e87a6f94ad10d9ab06b7ff7561f8d73298361c97751bdb42b6e4af,137507
logistic_r3.57,map,yes,6ed3b616cc2d2221399e94e7e72d177a575273d3fc789dd5b985512a5f5bb72a,138843
logistic_r3.70,map,yes,ddfc8a1b0a223342f8e203370339fcf5f811f080d2b44f16a913a99f98445e53,138899
logistic_r3.90,map,yes,921df0779db2d0bf6365d2d0f5d445429507371ff9636e30e916c2c1237212df,139232
logistic_r4.00,map,yes,859305b4a2c68a359e2a84c5baa20a2e342407053286c187071eec75aa402df4,141835
lorenz_x_rho10,flow,yes,5b7345ce59160b219341d20eb2ad1264dc37368ea177eccd74b9f17c34cd82d4,130007
lorenz_x_rho28,flow,yes,f363b8d9ad548a43d58ce82064a66f49fe73245ccc5270271fc940153927fb66,134581
lorenz_y_rho28,flow,yes,6f326c00503b71c772053244750107adce135a0c00000f93a09409fc00f31651,135016
lorenz_z_rho28,flow,yes,cba7c885ec48640a7811a94f1fa3fdce38fbfea38e79eacbb7417e3b05bbebf2,128916
nao_daily,climate,no,9f559e97ed00198215a5a256fb2ce7f70c65f4ab77bb680634539a8a7d0c4832,205928
nino34_monthly,climate,no,4da8d206c87fd2f9258bc9136d2d17257677265fd39552f694f20d0ef4f72c04,6325
pdo_monthly,climate,no,f2c383bf2cde0ee91b08afc1514ab8b8178130351595d066c3bb74d47376def8,6011
quasi_sine_sum,periodic,yes,b80521859ad1fb6029cba7b725874819f19f7ec19d17ac338fd864abce274cb2,141935
random_walk,stochastic,yes,98862d6d62bb548b53e2378ac02b4079d1573065c2a94be817c2646c7d8111a9,131029
rossler_x_c2.5,flow,yes,7cf97c15590405f14817dcd69bd409b4d045a53d09a789663681be67dc6c999a,135861
rossler_x_c5.7,flow,yes,edd3412c2db67b242ee81ab3aa3e30c39acab7653fb156c2558402952bedcf1f,135237
rossler_y_c5.7,flow,yes,a0a6af3b63c2d22509bbc9b5d65f330453373ceb7c41178fc809a082fda2c62a,135539
rr_chf201,physiology,no,f231b6a8eb62642d48187aa2c51d4ec940401a07214025741a84f2e15624ded3,870214
rr_chf202,physiology,no,841e14581f4f9b223c0811700d5f3026f7943baf66cbcd179b78c0b6ad1ddfd3,842585
rr_chf203,physiology,no,9b4db074f13d713164e1894688944d24350e8543e659a58d1e91c8d60eea5d33,758275
rr_chf204,physiology,no,eb118614120e58281311fef0641ce2e734ac4ee75c295f597a8c36f513706cc3,743398
rr_chf205,physiology,no,3f7d7af8b666b1f348648f7f2bc4e34fa7d015f6767afe07b90dc337a9bbf665,1039340
rr_nsr001,physiology,no,25f296a49e3a0ae263ac3a24d67fd17ea1f6a927c3797be6eff94d3737ba1719,838894
rr_nsr002,physiology,no,d7f89ce4ce0f7589d27736e70928dd3ae282295507ec9b8d313a7f8988b05ab5,865573
rr_nsr003,physiology,no,d9e061b613a26ebf253f5da63e473e1362c6e3d2eee9c12601543547f06789c0,754397
rr_nsr004,physiology,no,a428cccbd0a2a22fd80cc1f0eafe1f36b263aa1b3183e6b51a903e4b43b32751,782215
rr_nsr005,physiology,no,c6601fd5d20ceaf790fd5b8e416d506a01d22fc51a98039744eef00497cee92f,912651
shuffle_lorenz_x,surrogate,yes,f121f4d17f3714ea03468f4456f5a9e53c66f8b51f0f6dfa80131a55242f1c1b,134581
sine_plus_noise,periodic,yes,eaef8ffa9e0fa0562d3d812768d1ef0efd198df4ca1ca99e1e292645591a58a8,142550
sine_pure,periodic,yes,a334e3a4a7f9a03751b0b79f04bb472cb97ac9bd1078f9ef987049b2710cfefc,136898
sp500_log_returns_2010_2024,finance,no,b52ed603031faf556816d22dc3928209193a8a8e81eac9df2ed93bbecc5c8bec,61200
sp500_log_returns_full,finance,no,b3976cf0d2e8e0dc755c3ecd513b5ae5cadca0e551176eeb08976eb142550661,231196
sp500_realized_vol,finance,no,ebe88342d6ecdaa7849b6519aac0477a0f774bf467a6efccd26470392c302fa6,222247
student_t3,stochastic,yes,7763303001e49e4149d8bffd755f590219115c3eff7e33114a491d561c8b006b,140746
white_noise_1,stochastic,yes,414153965571b113e59f11c258b2d80b380a0d25f025340a1f84beded7ccf958,141684
white_noise_2,stochastic,yes,d50c43f7d740fd1ef9db451f61956fa8adc067b94aa99491b2db3cd6cc35faeb,141472
white_noise_3,stochastic,yes,afbb82c154413d0c1cad075447c4a1966495ec74f003f348e9cc74782f1e0c48,141607
white_uniform,stochastic,yes,c8cbfb10e364bbbdae4df880a251035b60fc68e741c10db589b69a1c36cbc568,140044
